title,artist,listType,listHighestRank,Tickets Sold,rank_each_year,releaseYear,x,y,rank
Beautiful Boy,Amazon Studios,Drama,15.845080820029922,835435.0,154.0,2018.0,1093.3529066534468,208.55098300824264,5
Peter Rabbit,Sony Pictures,Adventure,18.56247620862319,12649186.0,29.0,2018.0,1097.1351274865872,175.2572580094422,20
Traffik,Lionsgate,Thriller/Suspense,16.033208126088144,1008360.0,146.0,2018.0,1120.888111005915,167.460093529291,5
Downsizing,Paramount Pictures,Comedy,15.801887895746567,800119.0,157.0,2018.0,1130.1002226407772,163.56946385957957,5
Unfriended: Dark Web,OTL Releasing,Horror,15.997818319631259,973298.0,147.0,2018.0,1131.6688065377546,153.69325281697098,5
Smallfoot,Warner Bros.,Adventure,18.234069451384308,9108301.0,38.0,2018.0,1125.7081828404966,132.51611974519548,17
The Fog,Avco Embassy,Horror,16.881016904454558,2354041.0,112.0,2018.0,1148.8305748779344,126.08533546432973,7
Sherlock Gnomes,Paramount Pictures,Adventure,17.58234294538587,4746748.0,72.0,2018.0,1167.7367743339094,119.5618684313103,13
The Possession of Hannah Grace,Sony Pictures,Horror,16.50218021551498,1611711.0,129.0,2018.0,1180.8382070056707,134.67320397610263,7
Peppermint,STX Entertainment,Action,17.382751136591676,3887894.0,84.0,2018.0,1200.7236961303372,132.53607452921074,13
The Greatest Showman,20th Century Fox,Musical,18.646249001289597,13754496.0,26.0,2018.0,1233.7095114937035,133.5035376106293,20
Tomb Raider,Warner Bros.,Action,17.88026843572279,6394161.0,52.0,2018.0,1265.7716260928098,147.53994767281324,15
RBG,Magnolia Pictures,Documentary,16.45580719075459,1538678.0,130.0,2018.0,1278.7552446817847,165.30017425740465,7
Nobody's Fool,Paramount Pictures,Drama,17.272240718021983,3481132.0,91.0,2018.0,1292.7233767736316,173.10346112030504,9
Gosnell: The Trial of Ameri...,GVN Releasing,Drama,15.11839423363544,403939.0,187.0,2018.0,1290.7290139343588,184.93657215947505,3
Alpha,Sony Pictures,Adventure,17.39489259009996,3935387.0,83.0,2018.0,1302.1195590130967,196.17291866575715,13
Action Point,Paramount Pictures,Comedy,15.436799567906935,555391.0,174.0,2018.0,1298.1351957083905,211.6688810126432,3
Life Itself,Amazon Studios,Drama,15.225382520036133,449553.0,185.0,2018.0,1302.989901868868,215.1947607745497,3
The Current War: Director's...,101 Studios,Drama,15.603709194947442,652693.0,148.0,2019.0,1343.763696258604,245.5801970267052,5
Bumblebee,Paramount Pictures,Adventure,17.836737145003383,6088370.0,50.0,2019.0,1350.9065534014612,224.77203536266737,17
Men in Black: International,Sony Pictures,Adventure,18.19755977988306,8733821.0,35.0,2019.0,1362.7884008378219,256.62830164575604,17
Yesterday,Universal,Romantic Comedy,18.10988902202941,8000726.0,37.0,2019.0,1339.3542178073042,281.2624053577281,17
If Beale Street Could Talk,Annapurna Pictures,Drama,16.1675070506924,1147000.0,130.0,2019.0,1315.365144306673,281.9865272958857,7
Rocketman,Paramount Pictures,Drama,18.383686414566437,10520541.0,32.0,2019.0,1292.6491038847055,289.73130021363687,17
Good Boys,Universal,Comedy,18.23604017232084,9076453.0,34.0,2019.0,1267.0889791099808,267.3107734245424,17
The Best of Enemies,STX Entertainment,Drama,16.138448714971705,1114150.0,131.0,2019.0,1273.7721729765392,246.3504556850138,5
Don't Let Go,OTL Releasing,Thriller/Suspense,15.467061535128698,569330.0,156.0,2019.0,1274.9825817421483,236.4239804485496,5
Booksmart,United Artists,Comedy,16.937036452150032,2476087.0,97.0,2019.0,1277.2471299719468,222.60834360782033,9
The Beach Bum,Neon,Comedy,15.069016107820701,382379.0,176.0,2019.0,1288.7861591146548,219.31428737822503,3
A Star is Born,Warner Bros.,Drama,16.463880179002377,1542684.0,120.0,2019.0,1294.792760991328,211.31924304469274,7
Jojo Rabbit,Fox Searchlight,Black Comedy,16.88725666493551,2355846.0,102.0,2019.0,1310.0817144400387,206.60247482448554,9
Gemini Man,Paramount Pictures,Action,17.69803822113725,5299865.0,57.0,2019.0,1332.665504291454,198.48013304719572,15
Annabelle Comes Home,Warner Bros.,Horror,18.121635568621482,8095261.0,36.0,2019.0,1364.2774141130863,193.5115157919641,17
Arctic,Bleecker Street,Drama,14.695065103690228,263081.0,191.0,2019.0,1367.2787487670153,213.28503319011878,3
Frozen II,Walt Disney,Adventure,19.925734404028507,49174621.0,3.0,2019.0,1392.90604400962,224.5651811744478,25
Dumbo,Walt Disney,Adventure,18.55840850574087,12529073.0,22.0,2019.0,1397.541436626043,269.32580153757067,20
How to Train Your Dragon: T...,Universal,Adventure,18.895668836346193,17554531.0,15.0,2019.0,1371.4599252335533,299.6532604400807,20
Anna,Lionsgate,Action,15.86240230634506,845392.0,139.0,2019.0,1346.5744844860394,302.04383334254055,5
Poms,STX Entertainment,Comedy,16.427866265423056,1488113.0,122.0,2019.0,1334.9064006726321,304.8466569408612,7
The Last Black Man in San F...,A24,Drama,15.323074979109368,492982.0,161.0,2019.0,1325.0606863796806,297.9864885710926,5
Replicas,Entertainment Stu...,Thriller/Suspense,15.21334532173653,441749.0,170.0,2019.0,1315.9007466001426,293.97456842791513,5
Linda Ronstadt: The Sound o...,Greenwich,Documentary,15.261227406862222,463416.0,167.0,2019.0,1310.59799747819,302.4528260171626,5
Little,Universal,Comedy,17.525673919188524,4460751.0,67.0,2019.0,1301.7761812426165,320.4020755364537,15
Hellboy,Lionsgate,Horror,16.902168321696195,2391238.0,101.0,2019.0,1279.2828471043686,312.0324925513146,9
Saaho,Yash Raj Films,Action,14.781080477273633,286712.0,188.0,2019.0,1275.8227721008566,300.5421539588243,3
